#,keyword,country,difficulty,volume,cpc,cps,parent keyword,last update,serp features,global volume,traffic potential,nu,com,net,dk,checking_date
38,cvr,dk,3,151000,1.0,1.04,cvr,28/01/2022 03:25,"Sitelinks,People also ask",226000,213000,1,0,0,0,29-01-2022 09:47:31
39,fyens,dk,11,141000,0.01,0.98,fyens,26/01/2022 16:24,"Sitelinks,Knowledge panel",142000,227000,1,0,0,0,29-01-2022 09:49:35
40,y,dk,2,140000,2.5,0.96,y',27/01/2022 16:05,Sitelinks,27280000,66000,0,1,1,0,29-01-2022 09:55:57
41,superbrugsen,dk,4,138000,0.02,0.8,superbrugsen,25/01/2022 14:07,"Sitelinks,People also ask,Knowledge panel",142000,115000,1,0,1,0,29-01-2022 09:55:56
42,dr1,dk,7,137000,0.15,1.01,dr,28/01/2022 14:36,"Sitelinks,People also ask,Top stories,Videos,Knowledge panel",155000,1590000,1,0,0,0,29-01-2022 09:49:46
43,nyhederne,dk,0,136000,0.4,1.46,tv2 nyhederne,25/01/2022 04:49,"Sitelinks,Top stories,Thumbnails",140000,2460000,0,0,1,0,29-01-2022 09:54:50
44,twitter,dk,58,130000,1.7,0.98,twitter,27/01/2022 04:00,"Sitelinks,People also ask,Knowledge panel",128500000,119000,0,0,0,0,29-01-2022 09:51:03
45,shein,dk,50,130000,0.04,1.0,shein,25/01/2022 10:57,"Sitelinks,Image pack",42840000,122000,0,0,0,0,29-01-2022 09:48:34
46,tinglysning,dk,0,128000,0.8,1.14,tinglysning,25/01/2022 04:34,"Knowledge panel,People also ask,Sitelinks",132000,138000,0,0,0,0,29-01-2022 09:48:28
47,meny,dk,0,127000,0.06,0.89,meny,27/01/2022 10:31,"Sitelinks,People also ask,Image pack,Knowledge panel",295000,101000,0,0,0,0,29-01-2022 09:49:29
48,dsb,dk,4,127000,0.15,1.01,dsb,23/01/2022 14:08,"Sitelinks,People also ask,Knowledge panel,Tweet box",186000,145000,1,0,0,0,29-01-2022 09:52:57
49,gme,dk,84,120000,0.0,0.54,gme stock,23/01/2022 01:42,"Knowledge card,Sitelinks,Knowledge panel",13500000,47000,0,0,0,0,29-01-2022 09:49:17
50,fb,dk,11,118000,1.1,1.07,facebook,28/01/2022 08:30,"Sitelinks,Knowledge panel",158000000,4670000,0,1,1,0,29-01-2022 09:48:49
